Days,Open,High,Low,Close,Volume
0.0,0.196417,0.199083,0.192333,0.192333,436416000
3.0,0.195250,0.199917,0.193500,0.198583,575292000
4.0,0.198000,0.209417,0.197083,0.206667,1093344000
5.0,0.204333,0.209500,0.202917,0.208500,673032000
6.0,0.211083,0.212083,0.207250,0.209250,433752000
7.0,0.207833,0.214833,0.206167,0.212250,766584000
10.0,0.213000,0.215333,0.211000,0.214667,541980000
11.0,0.213583,0.215667,0.201333,0.203583,865800000
12.0,0.204583,0.207500,0.200167,0.202083,544872000
13.0,0.200583,0.204083,0.197000,0.202417,609204000
14.0,0.204500,0.207250,0.202583,0.205500,451728000
18.0,0.208000,0.211583,0.205667,0.211250,487764000
19.0,0.209500,0.210333,0.201167,0.201500,494460000
20.0,0.202583,0.205833,0.194417,0.196833,605724000
21.0,0.195833,0.199750,0.192000,0.192417,482472000
24.0,0.193667,0.200833,0.192167,0.200000,393684000
25.0,0.196000,0.199167,0.187083,0.188583,934104000
26.0,0.191000,0.194000,0.187083,0.188083,615204000
27.0,0.188667,0.189583,0.176250,0.182583,929700000
28.0,0.182167,0.189583,0.181083,0.185417,466464000
31.0,0.186917,0.192083,0.185000,0.188417,560844000
32.0,0.187917,0.191167,0.185250,0.187750,418032000
33.0,0.185083,0.186583,0.182417,0.182667,436800000
34.0,0.183667,0.187500,0.182500,0.185417,331980000
35.0,0.187833,0.192333,0.186833,0.189667,471132000
38.0,0.191083,0.194167,0.188250,0.188333,373992000
39.0,0.188917,0.195417,0.188833,0.195250,509700000
40.0,0.197750,0.202750,0.197083,0.202083,737808000
41.0,0.201000,0.202083,0.192917,0.196000,974892000
42.0,0.190833,0.199083,0.189167,0.194167,1747500000
46.0,0.194917,0.196917,0.192250,0.196333,575976000
47.0,0.196917,0.197917,0.195000,0.196333,320244000
48.0,0.198750,0.202250,0.195833,0.196250,631032000
49.0,0.195917,0.201667,0.194833,0.201167,618120000
52.0,0.200833,0.201167,0.191500,0.194167,853332000
53.0,0.190833,0.193250,0.184333,0.186417,708384000
54.0,0.187583,0.191083,0.185500,0.187500,652512000
55.0,0.190250,0.190583,0.186417,0.188750,344976000
56.0,0.189167,0.189333,0.182583,0.185417,595548000
59.0,0.184917,0.188500,0.184667,0.188167,506628000
60.0,0.188417,0.189750,0.183917,0.184667,813348000
61.0,0.184167,0.184167,0.179250,0.182250,552492000
62.0,0.184083,0.186583,0.182583,0.186250,413352000
63.0,0.182083,0.189167,0.181417,0.184917,354888000
66.0,0.185000,0.187500,0.177083,0.178500,465168000
67.0,0.180000,0.180167,0.174250,0.177250,371232000
68.0,0.178417,0.180333,0.173417,0.174667,481692000
69.0,0.172333,0.178500,0.172333,0.173333,526872000
70.0,0.175667,0.179167,0.173750,0.177000,377952000
73.0,0.175917,0.176667,0.171917,0.173000,421224000
74.0,0.175167,0.181250,0.174000,0.180417,597504000
75.0,0.183333,0.186583,0.182583,0.184833,524592000
76.0,0.183833,0.189167,0.183333,0.186917,528048000
77.0,0.185917,0.187833,0.183667,0.184750,452964000
80.0,0.181917,0.184750,0.179167,0.183333,576708000
81.0,0.185833,0.187833,0.182000,0.184083,576036000
82.0,0.183750,0.195417,0.183333,0.192333,787344000
83.0,0.194500,0.204500,0.194167,0.203500,997128000
84.0,0.202917,0.206083,0.200167,0.202917,551604000
87.0,0.205833,0.214417,0.205417,0.211667,985764000
88.0,0.210250,0.219000,0.210083,0.218000,724956000
89.0,0.219083,0.222333,0.217917,0.220000,604752000
90.0,0.220250,0.224750,0.210583,0.216083,1319508000
91.0,0.220833,0.222250,0.214167,0.219167,649740000
94.0,0.218000,0.227917,0.218000,0.227000,576744000
95.0,0.222500,0.224083,0.216667,0.217833,624096000
96.0,0.219500,0.219583,0.212833,0.216667,447864000
97.0,0.221500,0.225000,0.219833,0.222833,447096000
101.0,0.224583,0.225583,0.217333,0.218667,443784000
102.0,0.220667,0.220833,0.212500,0.213583,442704000
103.0,0.212500,0.218667,0.210083,0.214667,512016000
104.0,0.211750,0.212667,0.202500,0.203417,828084000
105.0,0.202583,0.202667,0.196333,0.196750,654864000
108.0,0.196583,0.197917,0.193000,0.196500,522804000
109.0,0.197000,0.199167,0.188083,0.188167,513804000
110.0,0.188917,0.195000,0.187000,0.188417,688812000
111.0,0.186667,0.192667,0.182750,0.189500,695520000
112.0,0.191833,0.196917,0.191250,0.193667,443928000
115.0,0.194083,0.194917,0.185583,0.186083,429912000
116.0,0.188250,0.193250,0.183833,0.184500,494568000
117.0,0.184583,0.187417,0.182333,0.183750,468768000
118.0,0.182667,0.183917,0.176250,0.178667,645048000
119.0,0.177667,0.178750,0.170333,0.171000,512928000
122.0,0.172833,0.174583,0.165833,0.168833,610668000
123.0,0.171250,0.181750,0.170833,0.179583,772380000
124.0,0.179750,0.182667,0.178250,0.181083,464280000
125.0,0.179250,0.184000,0.175417,0.182583,711348000
126.0,0.187917,0.191417,0.183000,0.184000,956772000
129.0,0.179083,0.181000,0.172917,0.176833,669072000
130.0,0.179083,0.182917,0.178333,0.181167,399936000
131.0,0.180167,0.180417,0.172417,0.178667,482328000
132.0,0.177167,0.182500,0.176667,0.179250,347952000
133.0,0.180000,0.183167,0.178333,0.179250,459000000
136.0,0.176667,0.179000,0.173750,0.176417,308340000
137.0,0.178000,0.181333,0.177333,0.179250,204420000
138.0,0.183250,0.185833,0.177917,0.178833,498276000
139.0,0.178500,0.181500,0.175333,0.176250,421488000
140.0,0.178333,0.178583,0.174250,0.176667,282096000
143.0,0.176333,0.178083,0.174000,0.176083,301620000
144.0,0.176833,0.184583,0.173250,0.183750,681264000
145.0,0.183750,0.190000,0.182667,0.187500,524568000
146.0,0.190583,0.193417,0.187833,0.188083,556548000
147.0,0.190417,0.196500,0.188917,0.195417,637980000
151.0,0.192083,0.197250,0.191833,0.195250,318420000
152.0,0.200000,0.200917,0.193583,0.193750,643800000
153.0,0.193833,0.194250,0.183833,0.184417,700824000
154.0,0.188167,0.188583,0.182417,0.182583,649608000
157.0,0.185583,0.189083,0.183250,0.187000,571956000
158.0,0.185917,0.186250,0.180917,0.183667,615000000
159.0,0.184750,0.185000,0.174500,0.175083,498336000
160.0,0.177917,0.178250,0.171750,0.173333,564516000
164.0,0.172417,0.172417,0.166583,0.167917,424752000
165.0,0.170750,0.173000,0.168833,0.170417,394584000
166.0,0.169917,0.171000,0.167083,0.167750,252576000
167.0,0.166667,0.170750,0.163583,0.164417,482376000
168.0,0.165333,0.169250,0.162500,0.164667,534336000
171.0,0.164917,0.167500,0.160667,0.161750,266568000
172.0,0.162667,0.167083,0.161583,0.166333,430308000
173.0,0.165833,0.169833,0.165417,0.169167,264660000
174.0,0.173667,0.174250,0.166417,0.167667,590652000
175.0,0.168833,0.170750,0.166833,0.168750,329124000
178.0,0.171167,0.171750,0.166667,0.167333,299376000
179.0,0.168333,0.173333,0.167667,0.173083,363852000
180.0,0.168500,0.173250,0.168500,0.170583,329268000
181.0,0.172500,0.172750,0.162500,0.162750,505620000
182.0,0.164500,0.164583,0.159250,0.160500,294948000
186.0,0.158583,0.160250,0.149333,0.151083,575388000
187.0,0.153000,0.156167,0.151083,0.151833,344136000
188.0,0.150417,0.152917,0.146917,0.147167,430056000
189.0,0.147000,0.147167,0.138083,0.140833,1114500000
192.0,0.136917,0.140833,0.135750,0.137583,676044000
193.0,0.139250,0.141667,0.135833,0.137333,567108000
194.0,0.132500,0.136167,0.128583,0.131250,901608000
195.0,0.132583,0.134000,0.129500,0.130333,611352000
196.0,0.134333,0.134500,0.126500,0.126500,464700000
199.0,0.126833,0.129333,0.125083,0.127917,461088000
200.0,0.127833,0.131000,0.126583,0.130500,341544000
201.0,0.132500,0.132667,0.122167,0.122583,613416000
202.0,0.124000,0.125833,0.120000,0.125167,521460000
203.0,0.126000,0.126167,0.121000,0.121833,371496000
206.0,0.123417,0.124500,0.117250,0.118417,503208000
207.0,0.119000,0.122667,0.115333,0.122333,789888000
208.0,0.122083,0.122500,0.115833,0.119250,505116000
209.0,0.120917,0.130167,0.120333,0.127083,747360000
210.0,0.125500,0.130833,0.125250,0.128500,403956000
